tweet,id,name,location,topic,created_at,processed_on
"First shot (Pfizer) today. No muss, no fuss no pain at all. #CovidVaccine #PfizerVaccine #cool",1392258135163686915,Joseph Greenlay,,PfizerVaccine ,Tue May 11 23:19:40 +0000 2021,2021-05-11 21:07:54
So glad Pfizer has approved the vaccine for kids over 12. Now my 15 yo can get it. The whole family will be vaccina… https://t.co/mDU81adEAq,1392257705788723207,Cara-Nicol,"North Carolina, USA",PfizerVaccine ,Tue May 11 23:17:58 +0000 2021,2021-05-11 21:07:54
@CMOH_Alberta Please advise when 2B second doses will open up. #PfizerVaccine,1392257229848408064,sweetmamato4,,PfizerVaccine ,Tue May 11 23:16:05 +0000 2021,2021-05-11 21:07:54
So the #PfizerVaccine has kicked my ass for the last 24 hours finally feeling more normal now..hopefully a full nig… https://t.co/VHzLNbe52U,1392255071514136586,Carly Young,Guernsey,PfizerVaccine ,Tue May 11 23:07:30 +0000 2021,2021-05-11 21:07:54
The main side effect of getting vaccinated seems to be posting a cringe selfie and not being able to shut the fuck… https://t.co/Uj7JuVLQL5,1392254655103647748,Commander,,PfizerVaccine ,Tue May 11 23:05:51 +0000 2021,2021-05-11 21:07:54
"My Vaccine Update 3.0 surely I can get a covid shot in Toronto. Nope!
#vaccine #PfizerVaccine #CovidVaccine… https://t.co/46qKwCiehG",1392251830806224896,victorybattle,"Toronto, Ontario",PfizerVaccine ,Tue May 11 22:54:37 +0000 2021,2021-05-11 21:07:54
"I am fully vaccinated, but with all these extra doses available I might go get a third!!! #vaccinate #PfizerVaccine",1392251285093502977,Isaac Read,The Gorge,PfizerVaccine ,Tue May 11 22:52:27 +0000 2021,2021-05-11 21:07:54
Very grateful to have been able to get my 2nd vaccine today but wow I feel like I’ve been hit by a bus #PfizerVaccine,1392250662747086849,AlexBrown,"Manchester, England",PfizerVaccine ,Tue May 11 22:49:59 +0000 2021,2021-05-11 21:07:54
"#COVID19 
#Variant 
#vaccine
#PfizerVaccine  

More evidence of infections in vaccinated people. 

https://t.co/ttIjFUdYLe",1392250352267792387,BigEyes,singapore,PfizerVaccine ,Tue May 11 22:48:45 +0000 2021,2021-05-11 21:07:54
"How can you tell if someone is vaccinated? don't worry they will tell you. 

#vaccination #PfizerVaccine #Moderna #AstraZeneca",1392250345351368710,Gods Papa.,The Cloud ,PfizerVaccine ,Tue May 11 22:48:43 +0000 2021,2021-05-11 21:07:54
Hi @robbieglover had my #secondjab #PfizerVaccine on Monday,1392249518066966528,ScottHendey,London,PfizerVaccine ,Tue May 11 22:45:26 +0000 2021,2021-05-11 21:07:54
Just got my second vaccination shot!! #PfizerVaccine 😊💉 AV locals - Dry Town waterpark is doing walk-ins every day… https://t.co/oU0CKxMVQr,1392248681412239360,Snowishhhh,CA,PfizerVaccine ,Tue May 11 22:42:07 +0000 2021,2021-05-11 21:07:54
@AHS_media @CMOH_Alberta  only booked my child’s #PfizerVaccine appointment for #COVID19Vaccination yesterday. Got… https://t.co/6N3PLvxEn5,1392247777925558272,Lynn George,,PfizerVaccine ,Tue May 11 22:38:31 +0000 2021,2021-05-11 21:07:54
1st dose of #PfizerVaccine today.  🤩😁,1392245600834424835,Michael,"Brandon, Manitoba",PfizerVaccine ,Tue May 11 22:29:52 +0000 2021,2021-05-11 21:07:54
"My experience with the #PfizerVaccine

-a thread to ease your fear of getting vaccinated 💉",1392245329806991364,ʚ kaR1Zma ɞ,"Illinois, USA",PfizerVaccine ,Tue May 11 22:28:47 +0000 2021,2021-05-11 21:07:54
Immediate family now all half-vaxxed. #relieved #COVID19Vaccination #vaccinated family members received… https://t.co/Vuglr1OGVP,1392245285074587653,"Marcella deJong, P.Eng.","Edmonton, Alberta",PfizerVaccine ,Tue May 11 22:28:37 +0000 2021,2021-05-11 21:07:54
"if i book my vaccine appointment and they tell me to get astra-zeneca im gonna lose my shit
i did not survive compl… https://t.co/dtaqzLkrSh",1392244672664330241,🄲🄾🅁🄰🄻,,PfizerVaccine ,Tue May 11 22:26:11 +0000 2021,2021-05-11 21:07:54
Got my first dose of the #PfizerVaccine today! #ProtectMB,1392244446939557890,Keane Kokolsky,"Winnipeg, Manitoba",PfizerVaccine ,Tue May 11 22:25:17 +0000 2021,2021-05-11 21:07:54
"Just had my 2nd jab, hoping my microchip makes my Wifi stronger. #PfizerVaccine",1392244140478398464,Justine,First star on the left.,PfizerVaccine ,Tue May 11 22:24:04 +0000 2021,2021-05-11 21:07:54
"#Pfizer asks UK regulator to approve vaccine for teenagers 
Will release story..
#PfizerVaccine https://t.co/Rrf5WJkbLu",1392243833371463680,The Public News 24,"Navi Mumbai, India",PfizerVaccine ,Tue May 11 22:22:51 +0000 2021,2021-05-11 21:07:54
Today is day 15 since my second #PfizerVaccine and I am officially #FullyVaccinated! ❤😁💃🕺💉💉 #covid_19… https://t.co/qjwzmK0wjp,1392242647167868929,Alyssa Perrone,,PfizerVaccine ,Tue May 11 22:18:08 +0000 2021,2021-05-11 21:07:54
"I’ll be honest - I was hella hesitant to get the vaccine, but that shit was quicker than my first bust. #PfizerVaccine",1392241512390537216,chahlee,,PfizerVaccine ,Tue May 11 22:13:37 +0000 2021,2021-05-11 21:07:54
"@Auspolpundit Said it, shall continue as required, Morrison really doesn't want to provide vaccines at all for the… https://t.co/o79HyAzB9g",1392241224845643778,*checks notes* I AM THE PRIME MINISTER🤦 ❣🐈🐪🐘🐉,"Aus, EU, Asia.",PfizerVaccine ,Tue May 11 22:12:29 +0000 2021,2021-05-11 21:07:54
FDA has granted emergency use authorization of ​Pfizer’s COVID-19 vaccine for children ages 12-15. A St. Jude's vir… https://t.co/7ympRQuI7s,1392239808924340229,Elisa Schmitz,,PfizerVaccine ,Tue May 11 22:06:51 +0000 2021,2021-05-11 21:07:54
Thank you #Science! #PfizerVaccine #kidsvaxxed https://t.co/Gid859blPl,1392239273319993353,Sarah Norsworthy,"Yarmouth, Maine",PfizerVaccine ,Tue May 11 22:04:43 +0000 2021,2021-05-11 21:07:54
"Second #PfizerVaccine  complete, don't feel all that great. Glad to have it though!",1392238644040065028,Chip Nayheyshun,"California, october",PfizerVaccine ,Tue May 11 22:02:13 +0000 2021,2021-05-11 21:07:54
