tweet,id,name,location,topic,created_at,processed_on
#immunocompromised people will still be #highrisk even after fully #vaccinated https://t.co/W5KVVL9rZX,1392277929300742149,#HighRisk #CovidisAirborne #VaxUp #MaskUp,Home,Vaccinated ,Wed May 12 00:38:20 +0000 2021,2021-05-11 21:09:19
"on Wednesdays 7:30pm MST
https://t.co/r9rveIXvM2

“Thou art He, O my God, through Whose names the sick are healed a… https://t.co/3tNvat7fTf",1392277794877448193,Spiritual Conversion Corner,,Vaccinated ,Wed May 12 00:37:48 +0000 2021,2021-05-11 21:09:19
#VaccinesWork  #vaccinated  they do work had my two just manage any pre existing condition with your doctor by test… https://t.co/3AyryATsxu,1392277658973589505,Demetrius Prime,"Citrus Heights, CA",Vaccinated ,Wed May 12 00:37:15 +0000 2021,2021-05-11 21:09:19
"Summer in the city
.
.
.
#boston #summer #livin #letsgo #covidvacccine #getvaccinated #vaccinated #havefun… https://t.co/RtpNuBhOYe",1392277546985689092,Tricia Rizzo,"Boston, MA",Vaccinated ,Wed May 12 00:36:49 +0000 2021,2021-05-11 21:09:19
@drewwpg I worked 2 hours after getting #AstraZeneca and then worked the full shift next day. I just kept saying it… https://t.co/eRb21L5S8g,1392276751384989700,Jillian Dawn Ainge,Winnipeg,Vaccinated ,Wed May 12 00:33:39 +0000 2021,2021-05-11 21:09:19
Got my vaccine! Super fast and simple. #vaccinated #COVID19Vaccination #abvax #GetVaccinatedASAP,1392276338430464001,Artem Medvedev,Edmonton,Vaccinated ,Wed May 12 00:32:00 +0000 2021,2021-05-11 21:09:19
Has #TuckerVaxxed told people he got #vaccinated for #COVID19 #FoxNews stop telling lies Tucker,1392275113853308935,Steve Utterback,"North Canton, OH",Vaccinated ,Wed May 12 00:27:09 +0000 2021,2021-05-11 21:09:19
"We need everyone’s help in fighting #Covid19MB - please, as soon as you are eligible, go and get #vaccinated… https://t.co/LD1fCEBLUJ",1392275097789116417,Ralph Eichler,"Teulon, MB",Vaccinated ,Wed May 12 00:27:05 +0000 2021,2021-05-11 21:09:19
NEW YORK I WILL SEE YOU IN THE FALL!! #vaccinated https://t.co/dn10DXPYjH,1392274386762170368,Tasha Siera [PB],"New York, USA",Vaccinated ,Wed May 12 00:24:15 +0000 2021,2021-05-11 21:09:19
"I can tell we are making progress, the clients at the vaccination clinics are getting younger and younger 😁 let's k… https://t.co/Lw2roxZsjN",1392273053741113349,Kelley,"Brockville, Ontario",Vaccinated ,Wed May 12 00:18:57 +0000 2021,2021-05-11 21:09:19
Still waiting for someone/anyone to talk about what the #CovidVaccine does to all of us long term??  All I hear/rea… https://t.co/1azLFyFxzs,1392272516085948423,Lovie 🦋,New York,Vaccinated ,Wed May 12 00:16:49 +0000 2021,2021-05-11 21:09:19
Finally over all the immune reaction side effects of that 2nd dose and proud to call myself one of these 263 millio… https://t.co/HOdsFykK0V,1392272235251998722,LoverOfPersona 🐐James got💍#4,Tempe AZ,Vaccinated ,Wed May 12 00:15:42 +0000 2021,2021-05-11 21:09:19
"Second shot of moderna: 1 
Michelle: 0 

Everything hurts 😭🤕

#Moderna #CovidVaccine #COVIDVaccination #vaccinated… https://t.co/vVamJOAGzx",1392272160903815176,Michelle Watson,"Atlanta, GA",Vaccinated ,Wed May 12 00:15:24 +0000 2021,2021-05-11 21:09:19
Latest #COVID19 #vaccination results show those fully #vaccinated by race. Swipe ➡️ for #vax progress of general po… https://t.co/HMPLuYkz4b,1392272033736761347,Wisconsin Argus,,Vaccinated ,Wed May 12 00:14:54 +0000 2021,2021-05-11 21:09:19
"Protien​ spike​ vaccines

#vaccinated #vaccination
#โควิค19​ #วัคซีนโควิด

https://t.co/hvZlQR7Eam",1392271959132557319,Dr Borisut Hanpanich,"MD, PhD / Ig: DrBorisut",Vaccinated ,Wed May 12 00:14:36 +0000 2021,2021-05-11 21:09:19
"As we wrap up the school year, I'm so thankful for my lab at @NCITE_COE and all of my coworkers who make my job eve… https://t.co/h7hJH5BM09",1392271917831315459,Clara Braun,"Omaha, NE",Vaccinated ,Wed May 12 00:14:27 +0000 2021,2021-05-11 21:09:19
Over 36hrs since vaccinated and for the first time in my lifetime I still haven't suffered any asthma stroke yet.😇✌… https://t.co/BSOBr9KqsQ,1392271845928308737,Priyank Zaveri (M.Tech Genetics),Mumbai,Vaccinated ,Wed May 12 00:14:09 +0000 2021,2021-05-11 21:09:19
Nothing: What are your personal 10 laws of manhood?1st - Be... https://t.co/KHABUjMlCv #COVIDEmergency2021… https://t.co/ZKW0kvSdZc,1392271172448919553,nilesh jaybhaye,"meghalaya , India ",Vaccinated ,Wed May 12 00:11:29 +0000 2021,2021-05-11 21:09:19
@itsarixo_ I’ll get all of us matching shirts that say #vaccinated,1392271000813801472,mc,Jarred’s fat juicy cock,Vaccinated ,Wed May 12 00:10:48 +0000 2021,2021-05-11 21:09:19
"Peoria Chiefs (now high A) opening day: chilly, 25 percent capacity. @EmptySeatsPics
#vaccinated https://t.co/q19JWjnhSq",1392270703328735234,onanyesfbb,,Vaccinated ,Wed May 12 00:09:37 +0000 2021,2021-05-11 21:09:19
"If you're vaxxed and you know it, clap your hands.
#vaccinated 
  https://t.co/0BdJGpShgb #findyourthing #redbubble",1392270441289424900,jb,california,Vaccinated ,Wed May 12 00:08:34 +0000 2021,2021-05-11 21:09:19
"so excited to officially be called a biologist after the weekend   —💚🐏💛  

it’ll be a busy year… https://t.co/iumoEJc6U4",1392270417344217090,Roula™️ 🦉,,Vaccinated ,Wed May 12 00:08:29 +0000 2021,2021-05-11 21:09:19
"I’ve been kind of nervous just because of my health history, but I did it …
I’m happy to say I am officially… https://t.co/4U7bWy43Xz",1392270205816958977,Gabe Ponce,Merica,Vaccinated ,Wed May 12 00:07:38 +0000 2021,2021-05-11 21:09:19
So suddenly we are supposed to trust the big pharma that started the opioid crisis and get #vaccinated?,1392270088443682819,Dr. Salami MD PHD,hell,Vaccinated ,Wed May 12 00:07:10 +0000 2021,2021-05-11 21:09:19
@Metallica My grandson is ready for his 1st REAL #Metallica concert!!  Let’s get #vaccinated!!  #LittleRocker… https://t.co/oBzqfVrpPi,1392270087436996609,Jake,Nor. Cal.,Vaccinated ,Wed May 12 00:07:10 +0000 2021,2021-05-11 21:09:19
Got my 1st dose today 🎉 #vaccinated,1392269919006437386,Anna Murphy,"St. John's, Newfoundland and L",Vaccinated ,Wed May 12 00:06:30 +0000 2021,2021-05-11 21:09:19
"A sure sign you're not dumb.
#vaccinated 
https://t.co/GiXOLy6PZo #findyourthing #redbubble https://t.co/jP74UjwVyi",1392269892313747458,jb,california,Vaccinated ,Wed May 12 00:06:24 +0000 2021,2021-05-11 21:09:19
⁦@Northern_Health⁩ do your part #covid19 get #vaccinated https://t.co/TalCJ7gzZM,1392269045706199046,Sherry Thibault,,Vaccinated ,Wed May 12 00:03:02 +0000 2021,2021-05-11 21:09:19
#covid19 do your part get #vaccinated https://t.co/8y9BSfxz1b,1392268675374190595,Sherry Thibault,,Vaccinated ,Wed May 12 00:01:33 +0000 2021,2021-05-11 21:09:19
"We are beating the virus! Let’s keep it up:
1) get #vaccinated  
2) mask up indoors
3) 6 feet apart
4) wash yo’ han… https://t.co/N3F90PHexX",1392268617669091332,CHNA 23,"Greater Plymouth, MA",Vaccinated ,Wed May 12 00:01:20 +0000 2021,2021-05-11 21:09:19
"Now that the COVID-19 vaccine is widely available, our staff members are ecstatic to complete their second doses! O… https://t.co/goQpTae7d8",1392268458302349314,Inland SoCal United Way,"Rancho Cucamonga, CA",Vaccinated ,Wed May 12 00:00:42 +0000 2021,2021-05-11 21:09:19
"I'm officially fully vaccinated today!! 🥳🎉💃💃

2 weeks post 💉 #2

#vaccinated #GetVaccinated https://t.co/D1CLgmVdQ9",1392268131087880192,Chelle *Fauci Fan Club* 🌊🥁🥀 #BLM ✊🏿✊🏾✊🏽,"Wisconsin, USA",Vaccinated ,Tue May 11 23:59:24 +0000 2021,2021-05-11 21:09:19
"@RutiRegan I chose to get #vaccinated because that's how we collectively control, and someday end, horrible disease… https://t.co/JRSK5NMw3m",1392267799666454530,Rebekah E Sims,,Vaccinated ,Tue May 11 23:58:05 +0000 2021,2021-05-11 21:09:19
"1 down, 3 to go! Mama has joined the ranks of the partially #vaccinated Just me and the kiddos to go!

#Finally… https://t.co/DRfU0k4WW3",1392267780733513728,Michelle Spencer 🧡,"Toronto, Ontario",Vaccinated ,Tue May 11 23:58:00 +0000 2021,2021-05-11 21:09:19
"We even had a great soundtrack while getting #vaccinated
Tupac &amp; Dr. Dre California Love #NowPlaying 

https://t.co/VJZwCCi4ea",1392266682874400768,Anarchie,Toronto,Vaccinated ,Tue May 11 23:53:38 +0000 2021,2021-05-11 21:09:19
"Word on the street is that #vaccinated people are more attractive but this is ridiculous. #MagnetChallenge?

https://t.co/6V80yeuy6m",1392266393865830402,TheUnwantedMan,86.5°N 172.6°W,Vaccinated ,Tue May 11 23:52:30 +0000 2021,2021-05-11 21:09:19
"Post COVID shot #2, if I am this miserable, I am so much more grateful for not having gotten this damn virus!… https://t.co/reFJELhnvD",1392266373233995777,Lisa McClure,,Vaccinated ,Tue May 11 23:52:25 +0000 2021,2021-05-11 21:09:19
Fully vaxxed! #moderna #vaccinated #cookcounty #COVID19Vaccination #science https://t.co/td3HcsdM5h,1392266136654331912,Kelly Lynn,,Vaccinated ,Tue May 11 23:51:28 +0000 2021,2021-05-11 21:09:19
"Today, I got my second vaccination, and I got my pre-order of @anniezaleskiauthor's 33 1/3 book on ""Rio"" (so now my… https://t.co/RjLOQ4NjsI",1392266072661835776,Kali Nichta,,Vaccinated ,Tue May 11 23:51:13 +0000 2021,2021-05-11 21:09:19
Second Dose 💉😷  #vaccinated,1392265636114407424,Jordan Castro,"Phoenix, AZ",Vaccinated ,Tue May 11 23:49:29 +0000 2021,2021-05-11 21:09:19
Got #vaccinated baby!!! https://t.co/7Fx63VFKnD,1392264948273848322,Anarchie,Toronto,Vaccinated ,Tue May 11 23:46:45 +0000 2021,2021-05-11 21:09:19
"Our Premier said we need to ""pray for a miracle"" when it comes to our hospitals/ICUs reaching overload.

This speak… https://t.co/5rlmA8yisg",1392264204711645186,✌- Leah 🇨🇦,"Edmonton, Alberta CANADA ",Vaccinated ,Tue May 11 23:43:48 +0000 2021,2021-05-11 21:09:19
"Got my 2nd #CovidVaccine shot today 🤘

2 more weeks &amp; it's #PartayTime 🍻🍻🍻🍻

#vaccinated 
#VaccinesWork",1392263926969036801,📚👩‍🔧🐾 KK352 🏍️🏁🚲,"California, USA",Vaccinated ,Tue May 11 23:42:41 +0000 2021,2021-05-11 21:09:19
